Tip,Author,Last Sent,Category
"To search for statistical tests in R start with help.search(keyword=""htest"") #rstats http://bit.ly/1AVQlKp",Joseph Rickert,2014-09-22T00:00:00Z,NA
"Look here http://bit.ly/1sbigr1  for documentation on ""special functions"" like beta(a,b) or gamma(x) #rstats",Joseph Rickert,2014-09-23T00:00:00Z,NA
"Time short code snippets through replication: system.time(replicate(1000, <expression>)) #rstats http://bit.ly/N8v9h0",David Smith,2014-09-25T00:00:00Z,NA
Regular expressions in R: http://bit.ly/8XdUan and  http://bit.ly/YkLupC and http://bit.ly/1okQ5PE #rstats,John D Cook,2014-09-30T00:00:00Z,NA
Look at the partykit package for tools to visualize classification tree models. http://bit.ly/1yugeVU #rstats,Joseph Rickert,2014-10-01T00:00:00Z,NA
"In base graphics, use segments(x0,y0,x1,y1) to draw a line between two points on a plot(x,y) http://bit.ly/1vDE7GR #rstats",Joseph Rickert,2014-10-06T00:00:00Z,NA
Conditional indexing. For vectors X and Y: Y[X > 5]  yields elements of Y for which X > 5. http://bit.ly/1pxOcze #rstats,Joseph Rickert,2014-10-07T00:00:00Z,NA
Get a quick visual overview of your data with the tabplot package: http://bit.ly/KGRu37 (via @JacquelynGill),@JacquelynGill,2014-10-09T00:00:00Z,NA
Some tips for dealing with missing values: http://www.ats.ucla.edu/stat/r/faq/missing.htm #rstats,Joseph Rickert,2014-10-13T00:00:00Z,NA
"Include .progress=""text"" as an argument to many plyr functions to display a progress bar during computation: http://bit.ly/WzSaeR #rstats",David Smith,2014-10-15T00:00:00Z,NA
"If the #rstats list ""x"" is a train carrying objects, then x[[5]] is the object in car 5; x[4:6] is a train of cars 4-6",David Smith,2014-10-16T00:00:00Z,NA
Install packages as they were on CRAN on a specified date with the checkpoint package time machine: http://bit.ly/1tC9LWK #rstats,Joseph Rickert,2014-10-21T00:00:00Z,NA
"When selecting from vectors, repeated indexes are allowed. x[c(1,1,2,2,3,3)] duplicates the first 3 elements of x #rstats",David Smith,2014-10-23T00:00:00Z,NA
The # character introduces comments in R. Everything after the # character to end-of-line is ignored by the interpreter. #rstats,David Smith,2014-10-24T00:00:00Z,NA
The function missing.pattern.plot() from the mi package let you see how NAs are distributed http://bit.ly/1sZjwL3 #rstats,Joseph Rickert,2014-10-27T00:00:00Z,NA
Remove all objects from your current environment with rm(list=ls()) but be careful #rstats http://bit.ly/163iD5E,JBR,2014-10-28T00:00:00Z,NA
How R finds variables used in statistical models: http://bit.ly/TN15uC #rstats,David Smith,2014-10-30T00:00:00Z,NA
"#rstats Create NAs of a specific type with NA_real_, NA_integer_ and NA_character_  http://bit.ly/1wlvzFp",Joseph Rickert,2014-11-03T00:00:00Z,NA
"#rstats Determine the internal storage type, or storage mode, of any R object with typeof() http://bit.ly/1tq6oPl",Joseph Rickert,2014-11-04T00:00:00Z,NA
"#rstats Use ls(pattern=""^is"",baseenv()) to see all ""is"" functions in base package (R. Cotton: Learning R) http://oreil.ly/19PbWsf",JBR,2014-11-05T00:00:00Z,NA
#rstats Back up your work frequently by running save.image() from the console http://bit.ly/1h71inM,JBR,2014-11-07T00:00:00Z,NA
#rstats When reading a file with read.table() or read.csv() use the na.strings argument to identify/set NAs http://bit.ly/1Gy6j33,JBR,2014-11-12T00:00:00Z,NA
"ggplot2 examples of bar charts, scatterplots, histograms, density plots and more: http://bit.ly/QvipSJ #rstats",David Smith,2014-11-13T00:00:00Z,NA
#rstats Make data cleaning a bit easier with Hadley Wickham's Tidy Data Tools http://vita.had.co.nz/papers/tidy-data.pdf,JBR,2014-11-19T00:00:00Z,NA
