status_id,created_at,text,favorite_count,retweet_count,score
1055851554723389440,2018-10-26T16:00:02Z,"Use ""gnls"" in the nlme package to fit a nonlinear model using generalized least squares https://t.co/yXB1mH0LdH #rstats",34,10,54
1055489163645067264,2018-10-25T16:00:01Z,Robust function writing tip: use seq_len(N) instead of 1:N (it handles the N&lt;1 case appropriately) https://t.co/bV36jrunMg #rstats,56,21,98
1055126771895582720,2018-10-24T16:00:00Z,"RT @MikeKSmith Looking for older versions of R packages, but don’t want to have to compile from source? You need the MRAN TimeMachine: https://t.co/VPadM9rVfD #rstats",23,7,37
1054764392313733126,2018-10-23T16:00:02Z,"The R source code is made up of 32% C, 24% Fortran, and 37% R. You can find a read-only mirror of the sources on Github at https://t.co/FPrucBJCcy #rstats",55,11,77
1054401996185321472,2018-10-22T16:00:00Z,Use the SAScii package to run an existing SAS script for importing ASCII data into R -- without needing SAS: https://t.co/lwvRNvU8Sf  #rstats,11,2,15
1053314835692294144,2018-10-19T16:00:01Z,"If you are using R and think you're in hell, this is a map for you. ""The R Inferno"", a classic by @burnsstat: https://t.co/yRroUrffeZ #rstats",85,22,129
1052952448837537792,2018-10-18T16:00:01Z,"Add row sums, column sums and grand total to a table with addmargins(my.table) #rstats htthttps://www.rdocumentation.org/packages/stats/versions/3.5.1/topics/addmargins",71,14,99
1052590057255780352,2018-10-17T16:00:00Z,How to manage R packages in Microsoft ML Server https://t.co/kG3IuXZoKu #rstats,12,3,18
1052227670040354816,2018-10-16T16:00:00Z,anova(model) will compute and print Analysis of Variance tables for models fitted with lm() and glm(). #rstats https://t.co/7Hh1PeKKzZ,34,11,56
1051865280740085761,2018-10-15T16:00:00Z,List of R packages and functions for Cluster Analysis &amp; Finite Mixture Models: https://t.co/pl3R7WAW3Q #rstats,41,11,63
1050778119903293440,2018-10-12T16:00:00Z,"Type ?""?"" or ?Question at the command line to get help with help in R https://t.co/DGnSLfvXZu #rstats",16,2,20
1050415734487019520,2018-10-11T16:00:01Z,"Use a vector second argument to rep() to replicate *within* a vector. Example: 
  rep(1:3, 1:3) 
returns 
  c(1,2,2,3,3,3) https://t.co/kgQ7WbDhSN #rstats",56,16,88
1050053341819142147,2018-10-10T16:00:00Z,Online Pluralsight course presented by @_StaciaV_: Getting Started with R in the Microsoft Data Platform https://t.co/ROIB5X9n04 #rstats,11,2,15
1049690957552082944,2018-10-09T16:00:01Z,List of R packages and functions for high-performance and parallel computing with R: https://t.co/oLEOlAXQCr #rstats,59,20,99
1049328565936738310,2018-10-08T16:00:00Z,"Use xtabs(formula,data) {stats} to create a contingency table from cross-classifying factors https://t.co/nKJDOC62KC #rstats",37,10,57
1048241414625083392,2018-10-05T16:00:03Z,"Train support vector machines with the ""svm"" function from the e1071 package: https://t.co/vz4PnPX3Mr #rstats",15,0,15
1047879018932973569,2018-10-04T16:00:01Z,"List of 100+ probability distributions (densities, quantiles, simulation) supported in R: https://t.co/Hxph06HPIY #rstats",75,26,127
1047516636427800578,2018-10-03T16:00:02Z,"How to call R functions via a RESTful API, at scale, with Microsoft ML Server https://t.co/UGJTUV7S05 #rstats",22,3,28
